Benchmark,Task,Batch Size,Learning Rate
genomic_benchmarks,demo_coding_vs_intergenomic_seqs,256,0.0005
genomic_benchmarks,demo_human_or_worm,256,0.0001
genomic_benchmarks,drosophila_enhancers_stark,256,0.0005
genomic_benchmarks,dummy_mouse_enhancers_ensembl,64,0.0005
genomic_benchmarks,human_enhancers_cohn,256,0.00005
genomic_benchmarks,human_enhancers_ensembl,256,0.001
genomic_benchmarks,human_ensembl_regulatory,256,0.0001
genomic_benchmarks,human_nontata_promoters,256,0.0005
genomic_benchmarks,human_ocr_ensembl,64,0.001
gue_benchmarks,core_promoter_detection_all,64,0.0005
gue_benchmarks,core_promoter_detection_notata,64,0.0005
gue_benchmarks,core_promoter_detection_tata,128,0.001
gue_benchmarks,covid_variant_classification_covid,256,0.0005
gue_benchmarks,epigenetic_marks_prediction_h3,256,0.001
gue_benchmarks,epigenetic_marks_prediction_h3k14ac,64,0.0005
gue_benchmarks,epigenetic_marks_prediction_h3k36me3,64,0.001
gue_benchmarks,epigenetic_marks_prediction_h3k4me1,64,0.001
gue_benchmarks,epigenetic_marks_prediction_h3k4me2,64,0.0005
gue_benchmarks,epigenetic_marks_prediction_h3k4me3,64,0.001
gue_benchmarks,epigenetic_marks_prediction_h3k79me3,64,0.0005
gue_benchmarks,epigenetic_marks_prediction_h3k9ac,64,0.0001
gue_benchmarks,epigenetic_marks_prediction_h4,128,0.00005
gue_benchmarks,epigenetic_marks_prediction_h4ac,256,0.001
gue_benchmarks,promoter_detection_all,256,0.0005
gue_benchmarks,promoter_detection_notata,128,0.00005
gue_benchmarks,promoter_detection_tata,64,0.0005
gue_benchmarks,splice_site_prediction_reconstructed,256,0.00005
gue_benchmarks,transcription_factor_prediction_human_wgencodeeh000552,256,0.00005
gue_benchmarks,transcription_factor_prediction_human_wgencodeeh000606,128,0.00005
gue_benchmarks,transcription_factor_prediction_human_wgencodeeh001546,256,0.001
gue_benchmarks,transcription_factor_prediction_human_wgencodeeh001776,128,0.001
gue_benchmarks,transcription_factor_prediction_human_wgencodeeh002829,256,0.001
gue_benchmarks,transcription_factor_prediction_mouse_ch12nrf2iggrab,64,0.0005
gue_benchmarks,transcription_factor_prediction_mouse_ch12znf384hpa004051iggrab,256,0.001
gue_benchmarks,transcription_factor_prediction_mouse_meljundiggrab,256,0.001
gue_benchmarks,transcription_factor_prediction_mouse_melmafkdm2p5dstd,256,0.0005
gue_benchmarks,transcription_factor_prediction_mouse_melnelfeiggrab,128,0.0005
nucleotide_transformer_tasks,enhancer,64,0.0005
nucleotide_transformer_tasks,enhancer_type,64,0.001
nucleotide_transformer_tasks,h2afz,128,0.0005
nucleotide_transformer_tasks,h3k27ac,256,0.0001
nucleotide_transformer_tasks,h3k27me3,64,0.001
nucleotide_transformer_tasks,h3k36me3,256,0.00005
nucleotide_transformer_tasks,h3k4me1,256,0.0005
nucleotide_transformer_tasks,h3k4me2,128,0.0005
nucleotide_transformer_tasks,h3k4me3,128,0.001
nucleotide_transformer_tasks,h3k9ac,128,0.0005
nucleotide_transformer_tasks,h3k9me3,256,0.001
nucleotide_transformer_tasks,h4k20me1,256,0.0001
nucleotide_transformer_tasks,promoter_all,128,0.0005
nucleotide_transformer_tasks,promoter_non_tata,64,0.001
nucleotide_transformer_tasks,promoter_tata,128,0.001
nucleotide_transformer_tasks,splice_site_acceptor,128,0.00005
nucleotide_transformer_tasks,splice_site_all,64,0.001
nucleotide_transformer_tasks,splice_site_donor,256,0.0005
