Benchmark,Task,Species,Category,Train Number,Test Number,Min SeqLen,Max SeqLen
genomic_benchmarks,demo_coding_vs_intergenomic_seqs,Human,2,75000,25000,200,200
genomic_benchmarks,demo_human_or_worm,Multispecies,2,75000,25000,200,200
genomic_benchmarks,drosophila_enhancers_stark,Drosophila,2,5184,1730,236,3237
genomic_benchmarks,dummy_mouse_enhancers_ensembl,Mouse,2,968,242,331,4707
genomic_benchmarks,human_enhancers_cohn,Human,2,20843,6948,500,500
genomic_benchmarks,human_enhancers_ensembl,Human,2,123872,30970,2,573
genomic_benchmarks,human_ensembl_regulatory,Human,3,231348,57713,71,802
genomic_benchmarks,human_nontata_promoters,Human,2,27097,9034,251,251
genomic_benchmarks,human_ocr_ensembl,Human,2,139804,34952,71,593
gue_benchmarks,core_promoter_detection_all,Human,2,47356,5920,70,70
gue_benchmarks,core_promoter_detection_notata,Human,2,42452,5307,70,70
gue_benchmarks,core_promoter_detection_tata,Human,2,4904,613,70,70
gue_benchmarks,covid_variant_classification_covid,Virus,9,73335,9168,999,999
gue_benchmarks,epigenetic_marks_prediction_h3,Yeast,2,11971,1497,290,500
gue_benchmarks,epigenetic_marks_prediction_h3k14ac,Yeast,2,26438,3305,310,500
gue_benchmarks,epigenetic_marks_prediction_h3k36me3,Yeast,2,27904,3488,310,500
gue_benchmarks,epigenetic_marks_prediction_h3k4me1,Yeast,2,25341,3168,310,500
gue_benchmarks,epigenetic_marks_prediction_h3k4me2,Yeast,2,24545,3069,290,500
gue_benchmarks,epigenetic_marks_prediction_h3k4me3,Yeast,2,29439,3680,290,500
gue_benchmarks,epigenetic_marks_prediction_h3k79me3,Yeast,2,23069,2884,310,500
gue_benchmarks,epigenetic_marks_prediction_h3k9ac,Yeast,2,22224,2779,290,500
gue_benchmarks,epigenetic_marks_prediction_h4,Yeast,2,11679,1461,310,500
gue_benchmarks,epigenetic_marks_prediction_h4ac,Yeast,2,27275,3410,290,500
gue_benchmarks,promoter_detection_all,Human,2,47356,5920,300,300
gue_benchmarks,promoter_detection_notata,Human,2,42452,5307,300,300
gue_benchmarks,promoter_detection_tata,Human,2,4904,613,300,300
gue_benchmarks,splice_site_prediction_reconstructed,Human,3,36496,4562,400,400
gue_benchmarks,transcription_factor_prediction_human_wgencodeeh000552,Human,2,32378,1000,101,101
gue_benchmarks,transcription_factor_prediction_human_wgencodeeh000606,Human,2,30672,1000,101,101
gue_benchmarks,transcription_factor_prediction_human_wgencodeeh001546,Human,2,19000,1000,101,101
gue_benchmarks,transcription_factor_prediction_human_wgencodeeh001776,Human,2,27294,1000,101,101
gue_benchmarks,transcription_factor_prediction_human_wgencodeeh002829,Human,2,19000,1000,101,101
gue_benchmarks,transcription_factor_prediction_mouse_ch12nrf2iggrab,Mouse,2,6478,810,101,101
gue_benchmarks,transcription_factor_prediction_mouse_ch12znf384hpa004051iggrab,Mouse,2,53952,6745,101,101
gue_benchmarks,transcription_factor_prediction_mouse_meljundiggrab,Mouse,2,2620,328,101,101
gue_benchmarks,transcription_factor_prediction_mouse_melmafkdm2p5dstd,Mouse,2,1904,239,101,101
gue_benchmarks,transcription_factor_prediction_mouse_melnelfeiggrab,Mouse,2,15064,1883,101,101
nucleotide_transformer_tasks,enhancer,Human,2,30000,3000,400,400
nucleotide_transformer_tasks,enhancer_type,Human,3,30000,3000,400,400
nucleotide_transformer_tasks,h2afz,Human,2,30000,3000,1000,1000
nucleotide_transformer_tasks,h3k27ac,Human,2,30000,1616,1000,1000
nucleotide_transformer_tasks,h3k27me3,Human,2,30000,3000,1000,1000
nucleotide_transformer_tasks,h3k36me3,Human,2,30000,3000,1000,1000
nucleotide_transformer_tasks,h3k4me1,Human,2,30000,3000,1000,1000
nucleotide_transformer_tasks,h3k4me2,Human,2,30000,2138,1000,1000
nucleotide_transformer_tasks,h3k4me3,Human,2,17468,776,1000,1000
nucleotide_transformer_tasks,h3k9ac,Human,2,23274,1004,1000,1000
nucleotide_transformer_tasks,h3k9me3,Human,2,27438,850,1000,1000
nucleotide_transformer_tasks,h4k20me1,Human,2,30000,2270,1000,1000
nucleotide_transformer_tasks,promoter_all,Human,2,30000,1584,300,300
nucleotide_transformer_tasks,promoter_non_tata,Human,2,30000,1372,300,300
nucleotide_transformer_tasks,promoter_tata,Human,2,5062,212,300,300
nucleotide_transformer_tasks,splice_site_acceptor,Human,2,30000,3000,600,600
nucleotide_transformer_tasks,splice_site_all,Human,3,30000,3000,600,600
nucleotide_transformer_tasks,splice_site_donor,Human,2,30000,3000,600,600
